N_1._tr|A0A0J9RCZ1|A0A0J9RCZ1_DROSI	
N_2459._tr|D7FA13|D7FA13_DROSI	GO:0008527	GO:0050912	GO:0016021	GO:0050909	GO:0016021
N_2460._tr|A0A0J9RB12|A0A0J9RB12_DROSI	GO:0008168
N_2461._tr|Q58SB8|Q58SB8_DROSI	GO:0007165	GO:0007165	GO:0005515
N_2462._tr|B4QZH0|B4QZH0_DROSI	
N_2463._tr|B4QKY3|B4QKY3_DROSI	
N_2464._tr|A0A0J9RB46|A0A0J9RB46_DROSI	
N_2465._tr|A0A0J9UCT7|A0A0J9UCT7_DROSI	GO:0009190	GO:0035556
N_2466._tr|A0A0J9RP85|A0A0J9RP85_DROSI	GO:0003854	GO:0016616	GO:0006694
N_2467._tr|A0A0J9TUG3|A0A0J9TUG3_DROSI	GO:0005515	GO:0016491	GO:0016209	GO:0016491	GO:0016829
N_2468._tr|B4QVJ2|B4QVJ2_DROSI	GO:0004383	GO:0006182	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468	GO:0009190	GO:0035556
N_2469._tr|Q6PVE4|Q6PVE4_DROSI	GO:0006355	GO:0005515
N_2470._tr|B4QG75|B4QG75_DROSI	GO:0055085	GO:0016021
N_2471._tr|B4QNQ4|B4QNQ4_DROSI	GO:0006629	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_2472._tr|B4Q4C9|B4Q4C9_DROSI	GO:0043461
N_2473._tr|B4QGZ6|B4QGZ6_DROSI	
N_2474._tr|B4R3R3|B4R3R3_DROSI	GO:0004198	GO:0006508
N_2475._tr|A0A0J9UR46|A0A0J9UR46_DROSI	GO:0046872
N_2476._tr|A0A0J9RW98|A0A0J9RW98_DROSI	GO:0023041	GO:0030867
N_2477._tr|A0A0J9TUS5|A0A0J9TUS5_DROSI	GO:0007009
N_2478._tr|B4Q3L7|B4Q3L7_DROSI	GO:0003700	GO:0045893
N_2479._tr|A0A0J9RJD2|A0A0J9RJD2_DROSI	GO:0005515
N_2480._tr|A0A0J9RNI6|A0A0J9RNI6_DROSI	GO:0005509	GO:0005509	GO:0005515	GO:0005509	GO:0005509	GO:0005509
N_2481._tr|B4R2N2|B4R2N2_DROSI	GO:0003700	GO:0006355	GO:0003677	GO:0006355	GO:0003700	GO:0006355
N_2482._tr|A0A0J9RSE7|A0A0J9RSE7_DROSI	
N_2483._tr|B4Q857|B4Q857_DROSI	GO:0005515
N_2484._tr|A0A0J9QTX5|A0A0J9QTX5_DROSI	GO:0005515
N_2485._tr|A0A0J9RRD1|A0A0J9RRD1_DROSI	GO:0016020
N_2486._tr|B6UXV7|B6UXV7_DROSI	GO:0140664	GO:0005524	GO:0016887
N_2487._tr|B4QZS4|B4QZS4_DROSI	GO:0004222	GO:0006508
N_2488._tr|F6JQ89|F6JQ89_DROSI	GO:0005524	GO:0016887
N_2489._tr|F6JIR3|F6JIR3_DROSI	
N_2490._tr|B4QVT5|B4QVT5_DROSI	GO:0004252	GO:0006508
N_2491._tr|B4Q7J8|B4Q7J8_DROSI	GO:0005509
N_2492._tr|A0A3Q7YN08|A0A3Q7YN08_DROSI	
N_2493._tr|B4QQV9|B4QQV9_DROSI	GO:0004252	GO:0006508
N_2494._tr|A0A0J9USS8|A0A0J9USS8_DROSI	GO:0046034	GO:1902600
N_2495._tr|A0A0J9RBK0|A0A0J9RBK0_DROSI	
N_2496._tr|A2TDY4|A2TDY4_DROSI	GO:0005743	GO:0005751
N_2497._tr|B4R1C7|B4R1C7_DROSI	GO:0005515
N_2498._tr|A0A0J9RHH5|A0A0J9RHH5_DROSI	
N_2499._tr|B4R1S2|B4R1S2_DROSI	GO:0003723
N_2500._tr|A0A0J9RK50|A0A0J9RK50_DROSI	
N_2501._tr|F6JL27|F6JL27_DROSI	
N_2502._tr|B4R4I6|B4R4I6_DROSI	GO:0003677	GO:0046983
N_2503._tr|A0A0J9RF47|A0A0J9RF47_DROSI	GO:0005516	GO:0030507	GO:0031175	GO:0008017	GO:0005515
N_2504._tr|Q5ELV5|Q5ELV5_DROSI	GO:0016020
N_2505._tr|B4NUV2|B4NUV2_DROSI	GO:0005515	GO:0005515	GO:0005515
N_2506._tr|A5YWE2|A5YWE2_DROSI	
N_2507._tr|B4R767|B4R767_DROSI	GO:0004725	GO:0006470
N_2508._tr|A0A0J9U602|A0A0J9U602_DROSI	GO:0016787
N_2509._tr|A0A0J9TW08|A0A0J9TW08_DROSI	GO:0005643	GO:0046907
N_2510._tr|D7F8M0|D7F8M0_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_2511._tr|A0A0J9R2F2|A0A0J9R2F2_DROSI	
N_2512._tr|B4QLF5|B4QLF5_DROSI	GO:0003676	GO:0005634
N_2513._tr|B4QN27|B4QN27_DROSI	
N_2514._tr|B4NT57|B4NT57_DROSI	
N_2515._tr|B4QLI8|B4QLI8_DROSI	GO:0008061	GO:0005576
N_2516._tr|B4Q4K7|B4Q4K7_DROSI	GO:0004672	GO:0006468
N_2517._tr|A0A0J9RRZ7|A0A0J9RRZ7_DROSI	GO:0006811	GO:0016021	GO:0005230	GO:0006811	GO:0016021
N_2518._tr|B4Q8G6|B4Q8G6_DROSI	
N_2519._tr|A0A0J9RBU9|A0A0J9RBU9_DROSI	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_2520._tr|A0A0J9R6C4|A0A0J9R6C4_DROSI	GO:0005515	GO:0005515
N_2521._tr|B4QD96|B4QD96_DROSI	GO:0015078	GO:1902600	GO:0033177
N_2522._tr|A0A0J9R1E1|A0A0J9R1E1_DROSI	GO:0016799
N_2523._tr|B4R738|B4R738_DROSI	GO:0005509	GO:0005515
N_2524._tr|A0A0J9R3N3|A0A0J9R3N3_DROSI	
N_2525._tr|B4Q8V8|B4Q8V8_DROSI	GO:0004497	GO:0005506	GO:0016705	GO:0020037
N_2526._tr|B4QEA4|B4QEA4_DROSI	GO:0004512	GO:0006021	GO:0008654
N_2527._tr|A0A0J9RR68|A0A0J9RR68_DROSI	GO:0004252	GO:0006508
N_2528._tr|Q4FDW7|Q4FDW7_DROSI	GO:0004252	GO:0006508
N_2529._tr|A0A0J9RND7|A0A0J9RND7_DROSI	GO:0005515
N_2530._tr|A0A1B1AB47|A0A1B1AB47_DROSI	GO:0005515
N_2531._tr|B4NU39|B4NU39_DROSI	
N_2532._tr|A0A0J9RSL0|A0A0J9RSL0_DROSI	GO:0003676	GO:0005524	GO:0003677	GO:0005524	GO:0016787
N_2533._tr|B2ZIA4|B2ZIA4_DROSI	
N_2534._tr|A0A0J9RNV3|A0A0J9RNV3_DROSI	
N_2535._tr|B4QS10|B4QS10_DROSI	
N_2536._tr|A0A0J9RVJ1|A0A0J9RVJ1_DROSI	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016020
N_2537._tr|A0A0J9RY95|A0A0J9RY95_DROSI	GO:0004674	GO:0005524	GO:0006468	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2538._tr|A0A0J9R763|A0A0J9R763_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2539._tr|B4R656|B4R656_DROSI	
N_2540._tr|B4QZP0|B4QZP0_DROSI	
N_2541._tr|A0A0J9RCH6|A0A0J9RCH6_DROSI	
N_2542._tr|A0A0J9R524|A0A0J9R524_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_2543._tr|Q9GPE5|Q9GPE5_DROSI	
N_2544._tr|B4Q887|B4Q887_DROSI	GO:0003678	GO:0005524	GO:0006260
N_2545._tr|A0A0J9R4U9|A0A0J9R4U9_DROSI	GO:0003676	GO:0008408	GO:0006139
N_2546._tr|A0A0J9R7N6|A0A0J9R7N6_DROSI	GO:0005515	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2547._tr|B4QFE3|B4QFE3_DROSI	GO:0022857	GO:0055085
N_2548._tr|A0A0J9RM14|A0A0J9RM14_DROSI	GO:0005515
N_2549._tr|B4QKV1|B4QKV1_DROSI	
N_2550._tr|Q6JE84|Q6JE84_DROSI	
N_2551._tr|B4R4E4|B4R4E4_DROSI	GO:0016799
N_2552._tr|B4QHX8|B4QHX8_DROSI	
N_2553._tr|Q9N6R7|Q9N6R7_DROSI	GO:0005515
N_2554._tr|A0A0J9U420|A0A0J9U420_DROSI	GO:0004674	GO:0005524	GO:0006468	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2555._tr|A0A0J9R6M6|A0A0J9R6M6_DROSI	GO:0007165
N_2556._tr|B4R2T2|B4R2T2_DROSI	
N_2557._tr|A0A0J9R8G1|A0A0J9R8G1_DROSI	GO:0055085	GO:0016021
N_2558._tr|B4Q8S5|B4Q8S5_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0004842	GO:0046872	GO:0016567	GO:0005515	GO:0005515
N_2559._tr|B4Q7M4|B4Q7M4_DROSI	GO:0004252	GO:0006508
N_2560._tr|B4Q7G2|B4Q7G2_DROSI	GO:0003774	GO:0005524	GO:0016459	GO:0003774	GO:0005524	GO:0016459
N_2561._tr|B4QIF8|B4QIF8_DROSI	
N_2562._tr|D7FAI2|D7FAI2_DROSI	GO:0050909	GO:0016021
N_2563._tr|B4QYT1|B4QYT1_DROSI	GO:0004252	GO:0006508
N_2564._tr|B4Q7Y7|B4Q7Y7_DROSI	GO:0006891	GO:0017119
N_2565._tr|B4QQL4|B4QQL4_DROSI	
N_2566._tr|A0A0J9QZ91|A0A0J9QZ91_DROSI	GO:0016491
N_2567._tr|Q0E5P3|Q0E5P3_DROSI	
N_2568._tr|A0A0J9R0H1|A0A0J9R0H1_DROSI	GO:0005515
N_2569._tr|B4QHF9|B4QHF9_DROSI	GO:0000166	GO:0004812	GO:0005524	GO:0006418	GO:0000166	GO:0004812	GO:0005524	GO:0006418
N_2570._tr|F6JJD5|F6JJD5_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_2571._tr|B4QC38|B4QC38_DROSI	GO:0005507
N_2572._tr|B4QI02|B4QI02_DROSI	GO:0070006	GO:0006508	GO:0070006	GO:0006508
N_2573._tr|B4QV36|B4QV36_DROSI	GO:0008270	GO:0005634
N_2574._tr|B4R3L3|B4R3L3_DROSI	GO:0005515	GO:0004843	GO:0016579
N_2575._tr|A0A0J9RR42|A0A0J9RR42_DROSI	GO:0004386	GO:0005524	GO:0005515
N_2576._tr|A0A0J9QYN3|A0A0J9QYN3_DROSI	
N_2577._tr|B4R7R5|B4R7R5_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2578._tr|A0A0J9S172|A0A0J9S172_DROSI	GO:0005515	GO:0004672	GO:0005524	GO:0006468	GO:0005515	GO:0003993	GO:0046872	GO:0004672	GO:0006468
N_2579._tr|B4QYR6|B4QYR6_DROSI	GO:0003924	GO:0005525	GO:0005525	GO:0005524	GO:0006576	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_2580._tr|B4Q378|B4Q378_DROSI	
N_2581._tr|B4R0G2|B4R0G2_DROSI	GO:0004252	GO:0006508
N_2582._tr|A0A0J9R112|A0A0J9R112_DROSI	
N_2583._tr|A0A0J9TR15|A0A0J9TR15_DROSI	GO:0019073	GO:0003924	GO:0005525	GO:0005525	GO:0005524	GO:0043531	GO:0005524	GO:0008134	GO:0006355	GO:0003723	GO:0003724	GO:0005524	GO:0016887	GO:0140664	GO:0005524	GO:0006576	GO:0005524	GO:0016301	GO:0005525	GO:0005524	GO:0140359	GO:0055085	GO:0016021	GO:0002949	GO:0005525	GO:0003924	GO:0005525	GO:0005525	GO:0016020	GO:0005524	GO:0016887
N_2584._tr|B4Q9T1|B4Q9T1_DROSI	GO:0006367	GO:0005672
N_2585._tr|A0A0J9RYM4|A0A0J9RYM4_DROSI	GO:0005509	GO:0005509	GO:0005509	GO:0005509
N_2586._tr|B4QEC3|B4QEC3_DROSI	GO:0005509	GO:0016491	GO:0016491	GO:0005509
N_2587._tr|B4R597|B4R597_DROSI	
N_2588._tr|A0A0J9TRQ3|A0A0J9TRQ3_DROSI	
N_2589._tr|A0A0J9RV64|A0A0J9RV64_DROSI	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_2590._tr|Q6V6M6|Q6V6M6_DROSI	GO:0030246
N_2591._tr|A0A0J9RJJ7|A0A0J9RJJ7_DROSI	
N_2592._tr|A9XTZ2|A9XTZ2_DROSI	GO:0003677
N_2593._tr|B4QFM6|B4QFM6_DROSI	GO:0005509
N_2594._tr|B4QLU6|B4QLU6_DROSI	GO:0016192	GO:0030008	GO:0006888
N_2595._tr|B4Q4R0|B4Q4R0_DROSI	GO:0006915	GO:0016787	GO:0006309	GO:0005634	GO:0005737
N_2596._tr|A0A0J9RV74|A0A0J9RV74_DROSI	
N_2597._tr|B4QSQ9|B4QSQ9_DROSI	GO:0008270	GO:0005634
N_2598._tr|A0A0J9UI29|A0A0J9UI29_DROSI	
N_2599._tr|A0A0J9TY54|A0A0J9TY54_DROSI	
N_2600._tr|B4QGS5|B4QGS5_DROSI	
N_2601._tr|A0A0J9R3L7|A0A0J9R3L7_DROSI	GO:0006606
N_2602._tr|B4QPN2|B4QPN2_DROSI	GO:0004519	GO:0006364	GO:0090730
N_2603._tr|A0A0J9U1Z9|A0A0J9U1Z9_DROSI	
N_2604._tr|B4QPU7|B4QPU7_DROSI	GO:0030246	GO:0004553	GO:0005975
N_2605._tr|B4QCE9|B4QCE9_DROSI	GO:0005515	GO:0006749	GO:0005515	GO:0006749	GO:0005515	GO:0006749
N_2606._tr|B4Q9H6|B4Q9H6_DROSI	GO:0005515
N_2607._tr|A0A0J9RKT9|A0A0J9RKT9_DROSI	GO:0004222	GO:0008270	GO:0006508	GO:0031012
N_2608._tr|B4QNK2|B4QNK2_DROSI	
N_2609._tr|A0A0J9RG72|A0A0J9RG72_DROSI	GO:0003779	GO:0005198	GO:0005856
N_2610._tr|B4R4K0|B4R4K0_DROSI	
N_2611._tr|A0A0J9R9W6|A0A0J9R9W6_DROSI	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0005525
N_2612._tr|B4R1W9|B4R1W9_DROSI	GO:0016773	GO:0005975	GO:0005524	GO:0140662
N_2613._tr|B4QPA2|B4QPA2_DROSI	
N_2614._tr|B4R3V5|B4R3V5_DROSI	
N_2615._tr|A0A0J9RW21|A0A0J9RW21_DROSI	GO:0003700	GO:0006355	GO:0003677	GO:0006355	GO:0003700	GO:0006355
N_2616._tr|B4QNJ4|B4QNJ4_DROSI	GO:0003735	GO:0006412	GO:0005840	GO:0003735	GO:0006412	GO:0005840
N_2617._tr|D7FAP4|D7FAP4_DROSI	GO:0050909	GO:0016021
N_2618._tr|B4QQ52|B4QQ52_DROSI	GO:0003723
N_2619._tr|B4QC84|B4QC84_DROSI	GO:0000398	GO:0000398
N_2620._tr|B4QRX4|B4QRX4_DROSI	
N_2621._tr|Q9U4Q3|Q9U4Q3_DROSI	
N_2622._tr|B4Q452|B4Q452_DROSI	GO:0003779
N_2623._tr|B4R0F9|B4R0F9_DROSI	
N_2624._tr|A0A0J9TDQ5|A0A0J9TDQ5_DROSI	GO:0003723
N_2625._tr|B4QKA5|B4QKA5_DROSI	
N_2626._tr|A5XCK7|A5XCK7_DROSI	GO:0003824	GO:0005992	GO:0003824	GO:0005992
N_2627._tr|B4NS16|B4NS16_DROSI	GO:0005515	GO:0005515
N_2628._tr|D7F946|D7F946_DROSI	GO:0050909	GO:0016021	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_2629._tr|B4QBE3|B4QBE3_DROSI	GO:0006334	GO:0005634
N_2630._tr|B4NRW0|B4NRW0_DROSI	
N_2631._tr|B4QJJ2|B4QJJ2_DROSI	GO:0005515
N_2632._tr|B4R2D6|B4R2D6_DROSI	GO:0003924	GO:0005525	GO:0005525	GO:0003924	GO:0005525	GO:0003924	GO:0019001	GO:0031683	GO:0007186
N_2633._tr|Q1G4U2|Q1G4U2_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2634._tr|A0A0J9RIP0|A0A0J9RIP0_DROSI	GO:0003677
N_2635._tr|A0A0J9R862|A0A0J9R862_DROSI	GO:0005975
N_2636._tr|B2XZY5|B2XZY5_DROSI	GO:0006914
N_2637._tr|F6JK60|F6JK60_DROSI	
N_2638._tr|B4QRJ7|B4QRJ7_DROSI	GO:0009055	GO:0020037
N_2639._tr|A0A0J9S020|A0A0J9S020_DROSI	GO:0022857	GO:0055085	GO:0016020	GO:0055085	GO:0016020
N_2640._tr|Q2XY00|Q2XY00_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2641._tr|A0A0J9RV20|A0A0J9RV20_DROSI	
N_2642._tr|B4QWJ3|B4QWJ3_DROSI	
N_2643._tr|A0A0J9QUN6|A0A0J9QUN6_DROSI	GO:0005515
N_2644._tr|B2ZI99|B2ZI99_DROSI	
N_2645._tr|A0A0J9RQ61|A0A0J9RQ61_DROSI	GO:0000226	GO:0015630
N_2646._tr|A0A0J9R7R6|A0A0J9R7R6_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_2647._tr|B4R522|B4R522_DROSI	GO:0003676	GO:0004386	GO:0005524	GO:0016818	GO:0006139
N_2648._tr|B4R3P5|B4R3P5_DROSI	
N_2649._tr|B4NTR2|B4NTR2_DROSI	GO:0015986
N_2650._tr|B4QDZ9|B4QDZ9_DROSI	GO:0022857	GO:0055085	GO:0016021	GO:0022857	GO:0055085
N_2651._tr|A0A0J9RCN9|A0A0J9RCN9_DROSI	GO:0005525	GO:0005525
N_2652._tr|A0A0J9RJ79|A0A0J9RJ79_DROSI	
N_2653._tr|Q2XXV9|Q2XXV9_DROSI	GO:0007165	GO:0005515	GO:0007165	GO:0005515
N_2654._tr|D7FA28|D7FA28_DROSI	GO:0050909	GO:0016021
N_2655._tr|A0A0J9QZG5|A0A0J9QZG5_DROSI	GO:0055085	GO:0016021
N_2656._tr|A0A0J9RFV3|A0A0J9RFV3_DROSI	
N_2657._tr|A0A0J9R6G5|A0A0J9R6G5_DROSI	GO:0016830	GO:0030170	GO:0019752
N_2658._tr|A9YKB8|A9YKB8_DROSI	GO:0005524	GO:0016887
N_2659._tr|B4R6V6|B4R6V6_DROSI	GO:0008270
N_2660._tr|Q4FDW5|Q4FDW5_DROSI	GO:0004252	GO:0006508
N_2661._tr|B4QIK4|B4QIK4_DROSI	GO:0003824
N_2662._tr|B4Q4U1|B4Q4U1_DROSI	
N_2663._tr|B4QH06|B4QH06_DROSI	GO:0050909	GO:0016021
N_2664._tr|B4QXW1|B4QXW1_DROSI	
N_2665._tr|B4QY50|B4QY50_DROSI	
N_2666._tr|B4NUW5|B4NUW5_DROSI	GO:0055085	GO:0016021
N_2667._tr|F6J659|F6J659_DROSI	GO:0005524	GO:0140359	GO:0055085	GO:0016021
N_2668._tr|B4Q408|B4Q408_DROSI	GO:0005515
N_2669._tr|A0A0J9RJA3|A0A0J9RJA3_DROSI	GO:0005515	GO:0005515	GO:0004222	GO:0006508
N_2670._tr|A0A0J9RL32|A0A0J9RL32_DROSI	GO:0022857	GO:0055085	GO:0016020	GO:0022857	GO:0006811	GO:0016020	GO:0055085	GO:0016020
N_2671._tr|F6JJH3|F6JJH3_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2672._tr|B4QTP3|B4QTP3_DROSI	
N_2673._tr|Q58SB3|Q58SB3_DROSI	GO:0007165	GO:0007165	GO:0005515
N_2674._tr|B4QF79|B4QF79_DROSI	
N_2675._tr|F6JL09|F6JL09_DROSI	GO:0004252	GO:0006508
N_2676._tr|B4Q5N3|B4Q5N3_DROSI	GO:0005515
N_2677._tr|B4QAV7|B4QAV7_DROSI	
N_2678._tr|A0A0J9UD08|A0A0J9UD08_DROSI	GO:0005515	GO:0005515	GO:0005515
N_2679._tr|A0A0J9RTA8|A0A0J9RTA8_DROSI	GO:0015276	GO:0016020
N_2680._tr|A0A0J9RGX6|A0A0J9RGX6_DROSI	GO:0006464
N_2681._tr|Q8ISD1|Q8ISD1_DROSI	
N_2682._tr|B4NVV3|B4NVV3_DROSI	
N_2683._tr|A0A0J9U9N1|A0A0J9U9N1_DROSI	GO:0003910	GO:0005524	GO:0006281	GO:0006310	GO:0003677	GO:0003910	GO:0006281	GO:0006310	GO:0003910	GO:0006281	GO:0006310
N_2684._tr|B4QM78|B4QM78_DROSI	GO:0000062
N_2685._tr|A0A0J9RDQ2|A0A0J9RDQ2_DROSI	GO:0004843	GO:0006511
N_2686._tr|A0A0J9R8X0|A0A0J9R8X0_DROSI	
N_2687._tr|A0A0J9RMH5|A0A0J9RMH5_DROSI	GO:0005085	GO:0005515	GO:0005515
N_2688._tr|B4QQG0|B4QQG0_DROSI	GO:0005524	GO:0140658	GO:0016575	GO:0070823	GO:0003677	GO:0005524	GO:0016787
N_2689._tr|B4QBI9|B4QBI9_DROSI	
N_2690._tr|B4Q611|B4Q611_DROSI	GO:0016409
N_2691._tr|B4R0S3|B4R0S3_DROSI	GO:0009922	GO:0016021
N_2692._tr|A0A0J9RE00|A0A0J9RE00_DROSI	
N_2693._tr|A0A0J9TN18|A0A0J9TN18_DROSI	
N_2694._tr|I7D318|I7D318_DROSI	GO:0015074
N_2695._tr|A0A0J9QXN4|A0A0J9QXN4_DROSI	GO:0016746
N_2696._tr|A0A0J9UC25|A0A0J9UC25_DROSI	GO:0008237	GO:0008270
N_2697._tr|A0A0J9R8P4|A0A0J9R8P4_DROSI	GO:0005515	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2698._tr|B4QVU0|B4QVU0_DROSI	
N_2699._tr|D7FAA3|D7FAA3_DROSI	GO:0050909	GO:0016021
N_2700._tr|B4QLY1|B4QLY1_DROSI	
N_2701._tr|A0A0J9RKS4|A0A0J9RKS4_DROSI	
N_2702._tr|A4V9W8|A4V9W8_DROSI	GO:0004252	GO:0006508
N_2703._tr|A0A0J9RYF2|A0A0J9RYF2_DROSI	GO:0004930	GO:0007186	GO:0016021	GO:0008528
N_2704._tr|B4R3C4|B4R3C4_DROSI	
N_2705._tr|Q1G4V7|Q1G4V7_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2706._tr|B4QMD8|B4QMD8_DROSI	
N_2707._tr|Q5ELL2|Q5ELL2_DROSI	GO:0016020
N_2708._tr|B4QD30|B4QD30_DROSI	
N_2709._tr|A0A0J9RJF5|A0A0J9RJF5_DROSI	GO:0004252	GO:0006508
N_2710._tr|A0A0J9QVV8|A0A0J9QVV8_DROSI	GO:0003735	GO:0006412	GO:0005840
N_2711._tr|B4QTP0|B4QTP0_DROSI	GO:0008270	GO:0005634
N_2712._tr|B4Q450|B4Q450_DROSI	
N_2713._tr|B4QJT4|B4QJT4_DROSI	GO:0008234	GO:0006508
N_2714._tr|Q670K8|Q670K8_DROSI	GO:0016787
N_2715._tr|B4Q8M0|B4Q8M0_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_2716._tr|B6UXN8|B6UXN8_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2717._tr|B4QLT4|B4QLT4_DROSI	
N_2718._tr|B4R2Z4|B4R2Z4_DROSI	GO:0003824
N_2719._tr|Q1G4U6|Q1G4U6_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2720._tr|A0A3S5ZSH1|A0A3S5ZSH1_DROSI	
N_2721._tr|Q3YMU5|Q3YMU5_DROSI	GO:0006629
N_2722._tr|B4QAX8|B4QAX8_DROSI	GO:0005515
N_2723._tr|A0A0J9QYH9|A0A0J9QYH9_DROSI	
N_2724._tr|A0A0J9RZ02|A0A0J9RZ02_DROSI	
N_2725._tr|B4R3V8|B4R3V8_DROSI	GO:0003677	GO:0003682	GO:0000775
N_2726._tr|B4QWD6|B4QWD6_DROSI	GO:0005515	GO:0005515
N_2727._tr|B4Q8F2|B4Q8F2_DROSI	GO:0070573	GO:0006508
N_2728._tr|B4QW03|B4QW03_DROSI	GO:0004930	GO:0007186	GO:0016021
N_2729._tr|A0A0J9RID3|A0A0J9RID3_DROSI	
N_2730._tr|B4QWA0|B4QWA0_DROSI	
N_2731._tr|B4Q7N7|B4Q7N7_DROSI	
N_2732._tr|A0A0J9R380|A0A0J9R380_DROSI	GO:0003676	GO:0008270
N_2733._tr|B4NUG9|B4NUG9_DROSI	GO:0120013	GO:0120009	GO:0005737
N_2734._sp|B4QHH0|CALYP_DROSI	GO:0004843	GO:0006511
N_2735._tr|A0A0J9R2Y3|A0A0J9R2Y3_DROSI	
N_2736._tr|B4QGQ4|B4QGQ4_DROSI	GO:0008237	GO:0008241	GO:0006508	GO:0016020
N_2737._tr|B4R720|B4R720_DROSI	GO:0005085	GO:0007165
N_2738._tr|B4QYC0|B4QYC0_DROSI	
N_2739._tr|A0A075BHZ7|A0A075BHZ7_DROSI	
N_2740._tr|B4QRN0|B4QRN0_DROSI	GO:0005085	GO:0007165
N_2741._tr|B4Q786|B4Q786_DROSI	GO:0016192	GO:0030008	GO:0006888
N_2742._tr|B4QQS2|B4QQS2_DROSI	GO:0015116	GO:0008272	GO:0016021
N_2743._tr|B4QSL7|B4QSL7_DROSI	GO:0006811	GO:0016021	GO:0005230	GO:0006811	GO:0016021
N_2744._tr|B4QTT2|B4QTT2_DROSI	GO:0004672	GO:0005524	GO:0006468	GO:0004672	GO:0006468
N_2745._tr|B4QN85|B4QN85_DROSI	
N_2746._tr|A0A0J9TE21|A0A0J9TE21_DROSI	GO:0003677	GO:0006352
N_2747._tr|B4NT20|B4NT20_DROSI	GO:0008061	GO:0005576
N_2748._tr|B4QY96|B4QY96_DROSI	
N_2749._tr|B4Q6W6|B4Q6W6_DROSI	GO:0004185	GO:0006508
N_2750._tr|A0A0J9U4Z2|A0A0J9U4Z2_DROSI	
N_2751._tr|A0A0J9R0R2|A0A0J9R0R2_DROSI	GO:0005245	GO:0070588	GO:0005891
N_2752._tr|B4Q7L7|B4Q7L7_DROSI	GO:0008061	GO:0005576
N_2753._tr|B4QMD4|B4QMD4_DROSI	GO:0004252	GO:0006508
N_2754._tr|B4QDA7|B4QDA7_DROSI	
N_2755._tr|B4QUU1|B4QUU1_DROSI	
N_2756._tr|Q0PRJ0|Q0PRJ0_DROSI	GO:0005102	GO:0007275	GO:0016055	GO:0005576
N_2757._tr|A0A0J9R956|A0A0J9R956_DROSI	GO:0008195
N_2758._tr|A0A0J9RJ90|A0A0J9RJ90_DROSI	GO:0005515	GO:0005515	GO:0005515	GO:0005515	GO:0005515
N_2759._tr|Q2Q0K0|Q2Q0K0_DROSI	
N_2760._tr|B4QE73|B4QE73_DROSI	
N_2761._tr|B4R2E1|B4R2E1_DROSI	
N_2762._tr|B4QRC9|B4QRC9_DROSI	
N_2763._tr|A0A0J9R2B4|A0A0J9R2B4_DROSI	GO:0004984	GO:0005549	GO:0007608	GO:0016020
N_2764._tr|B4QC20|B4QC20_DROSI	GO:0008289
N_2765._tr|B4NST8|B4NST8_DROSI	
N_2766._tr|B4QZC6|B4QZC6_DROSI	
N_2767._tr|A0A0J9R573|A0A0J9R573_DROSI	
N_2768._tr|B4QV41|B4QV41_DROSI	
N_2769._tr|A0A0J9RUK0|A0A0J9RUK0_DROSI	
N_2770._tr|B4Q5W7|B4Q5W7_DROSI	GO:0004252	GO:0006508
N_2771._tr|Q49BI5|Q49BI5_DROSI	GO:0005634
N_2772._tr|A0A0J9R5N9|A0A0J9R5N9_DROSI	GO:0005615	GO:0004866	GO:0005576	GO:0004866
N_2773._tr|A0A0J9QYW2|A0A0J9QYW2_DROSI	
